ws_id,village_id,village_name,year,month,month_name,source_type,capacity_liters_per_day,supply_liters_per_day,availability_fraction,supply_hours_per_day,availability_status,treatment_facility,daily_demand_lpd,shortfall_lpd,source
WSVLG0003M07,VLG0003,Hingna,2025,7,July,bore_well,67338,63609,0.945,17.0,functional,N,56115,0,JJM_synthetic
WSVLG0003M08,VLG0003,Hingna,2025,8,August,bore_well,67338,65370,0.971,17.5,functional,N,56115,0,JJM_synthetic
WSVLG0003M09,VLG0003,Hingna,2025,9,September,bore_well,67338,63764,0.947,17.0,functional,N,56115,0,JJM_synthetic
WSVLG0003M10,VLG0003,Hingna,2025,10,October,bore_well,67338,53629,0.796,14.3,functional,N,56115,2486,JJM_synthetic
WSVLG0003M11,VLG0003,Hingna,2025,11,November,bore_well,67338,48261,0.717,12.9,functional,N,56115,7854,JJM_synthetic
WSVLG0003M12,VLG0003,Hingna,2025,12,December,bore_well,67338,57417,0.853,15.3,functional,N,56115,0,JJM_synthetic
WSVLG0004M01,VLG0004,Mandgaon,2025,1,January,bore_well,73386,54656,0.745,13.4,functional,N,61155,6499,JJM_synthetic
WSVLG0004M02,VLG0004,Mandgaon,2025,2,February,bore_well,73386,53759,0.733,13.2,functional,N,61155,7396,JJM_synthetic
WSVLG0004M03,VLG0004,Mandgaon,2025,3,March,bore_well,73386,49146,0.67,12.1,functional,N,61155,12009,JJM_synthetic
WSVLG0004M04,VLG0004,Mandgaon,2025,4,April,bore_well,73386,43827,0.597,10.7,functional,N,61155,17328,JJM_synthetic
WSVLG0004M05,VLG0004,Mandgaon,2025,5,May,bore_well,73386,42385,0.578,10.4,functional,N,61155,18770,JJM_synthetic
WSVLG0004M06,VLG0004,Mandgaon,2025,6,June,bore_well,73386,64040,0.873,15.7,functional,N,61155,0,JJM_synthetic
WSVLG0004M07,VLG0004,Mandgaon,2025,7,July,bore_well,73386,68913,0.939,16.9,functional,N,61155,0,JJM_synthetic
WSVLG0004M08,VLG0004,Mandgaon,2025,8,August,bore_well,73386,69674,0.949,17.1,functional,N,61155,0,JJM_synthetic
WSVLG0004M09,VLG0004,Mandgaon,2025,9,September,bore_well,73386,65018,0.886,15.9,functional,N,61155,0,JJM_synthetic
WSVLG0004M10,VLG0004,Mandgaon,2025,10,October,bore_well,73386,60463,0.824,14.8,functional,N,61155,692,JJM_synthetic
WSVLG0004M11,VLG0004,Mandgaon,2025,11,November,bore_well,73386,58520,0.797,14.4,functional,N,61155,2635,JJM_synthetic
WSVLG0004M12,VLG0004,Mandgaon,2025,12,December,bore_well,73386,62653,0.854,15.4,functional,N,61155,0,JJM_synthetic
WSVLG0005M01,VLG0005,Kothari,2025,1,January,piped_scheme,19973,7304,0.366,6.6,non-functional,Y,36315,29011,JJM_synthetic
WSVLG0005M02,VLG0005,Kothari,2025,2,February,piped_scheme,19973,5954,0.298,5.4,non-functional,Y,36315,30361,JJM_synthetic
WSVLG0005M03,VLG0005,Kothari,2025,3,March,piped_scheme,19973,2730,0.137,2.5,non-functional,Y,36315,33585,JJM_synthetic
WSVLG0005M04,VLG0005,Kothari,2025,4,April,piped_scheme,19973,3036,0.152,2.7,non-functional,Y,36315,33279,JJM_synthetic
WSVLG0005M05,VLG0005,Kothari,2025,5,May,piped_scheme,19973,2380,0.119,2.1,non-functional,Y,36315,33935,JJM_synthetic
WSVLG0005M06,VLG0005,Kothari,2025,6,June,piped_scheme,19973,11567,0.579,10.4,non-functional,Y,36315,24748,JJM_synthetic
WSVLG0005M07,VLG0005,Kothari,2025,7,July,piped_scheme,19973,12429,0.622,11.2,non-functional,Y,36315,23886,JJM_synthetic
WSVLG0005M08,VLG0005,Kothari,2025,8,August,piped_scheme,19973,11856,0.594,10.7,non-functional,Y,36315,24459,JJM_synthetic
WSVLG0005M09,VLG0005,Kothari,2025,9,September,piped_scheme,19973,10526,0.527,9.5,non-functional,Y,36315,25789,JJM_synthetic
WSVLG0005M10,VLG0005,Kothari,2025,10,October,piped_scheme,19973,8417,0.421,7.6,non-functional,Y,36315,27898,JJM_synthetic
WSVLG0005M11,VLG0005,Kothari,2025,11,November,piped_scheme,19973,7217,0.361,6.5,non-functional,Y,36315,29098,JJM_synthetic
WSVLG0005M12,VLG0005,Kothari,2025,12,December,piped_scheme,19973,6864,0.344,6.2,non-functional,Y,36315,29451,JJM_synthetic
WSVLG0006M01,VLG0006,Kosara,2025,1,January,bore_well,47250,39516,0.836,15.1,functional,N,39375,0,JJM_synthetic
WSVLG0006M02,VLG0006,Kosara,2025,2,February,bore_well,47250,35670,0.755,13.6,functional,N,39375,3705,JJM_synthetic
WSVLG0006M03,VLG0006,Kosara,2025,3,March,bore_well,47250,31895,0.675,12.2,functional,N,39375,7480,JJM_synthetic
WSVLG0006M04,VLG0006,Kosara,2025,4,April,bore_well,47250,27950,0.592,10.6,functional,N,39375,11425,JJM_synthetic
WSVLG0006M05,VLG0006,Kosara,2025,5,May,bore_well,47250,27398,0.58,10.4,functional,N,39375,11977,JJM_synthetic
WSVLG0006M06,VLG0006,Kosara,2025,6,June,bore_well,47250,43140,0.913,16.4,functional,N,39375,0,JJM_synthetic
WSVLG0006M07,VLG0006,Kosara,2025,7,July,bore_well,47250,47250,1.0,18.0,functional,N,39375,0,JJM_synthetic
WSVLG0006M08,VLG0006,Kosara,2025,8,August,bore_well,47250,43276,0.916,16.5,functional,N,39375,0,JJM_synthetic
WSVLG0006M09,VLG0006,Kosara,2025,9,September,bore_well,47250,42559,0.901,16.2,functional,N,39375,0,JJM_synthetic
WSVLG0006M10,VLG0006,Kosara,2025,10,October,bore_well,47250,37744,0.799,14.4,functional,N,39375,1631,JJM_synthetic
WSVLG0006M11,VLG0006,Kosara,2025,11,November,bore_well,47250,35212,0.745,13.4,functional,N,39375,4163,JJM_synthetic
WSVLG0006M12,VLG0006,Kosara,2025,12,December,bore_well,47250,38724,0.82,14.8,functional,N,39375,651,JJM_synthetic
WSVLG0007M01,VLG0007,Rajura,2025,1,January,open_well,129240,123488,0.955,17.2,functional,N,80775,0,JJM_synthetic
WSVLG0007M02,VLG0007,Rajura,2025,2,February,open_well,129240,129240,1.0,18.0,functional,N,80775,0,JJM_synthetic
WSVLG0007M03,VLG0007,Rajura,2025,3,March,open_well,129240,112779,0.873,15.7,functional,N,80775,0,JJM_synthetic
WSVLG0007M04,VLG0007,Rajura,2025,4,April,open_well,129240,104011,0.805,14.5,functional,N,80775,0,JJM_synthetic
WSVLG0007M05,VLG0007,Rajura,2025,5,May,open_well,129240,107388,0.831,15.0,functional,N,80775,0,JJM_synthetic
WSVLG0007M06,VLG0007,Rajura,2025,6,June,open_well,129240,115930,0.897,16.1,functional,N,80775,0,JJM_synthetic
WSVLG0007M07,VLG0007,Rajura,2025,7,July,open_well,129240,128764,0.996,17.9,functional,N,80775,0,JJM_synthetic
WSVLG0007M08,VLG0007,Rajura,2025,8,August,open_well,129240,129240,1.0,18.0,functional,N,80775,0,JJM_synthetic
WSVLG0007M09,VLG0007,Rajura,2025,9,September,open_well,129240,129240,1.0,18.0,functional,N,80775,0,JJM_synthetic
WSVLG0007M10,VLG0007,Rajura,2025,10,October,open_well,129240,126518,0.979,17.6,functional,N,80775,0,JJM_synthetic
WSVLG0007M11,VLG0007,Rajura,2025,11,November,open_well,129240,116297,0.9,16.2,functional,N,80775,0,JJM_synthetic
WSVLG0007M12,VLG0007,Rajura,2025,12,December,open_well,129240,123291,0.954,17.2,functional,N,80775,0,JJM_synthetic
WSVLG0008M01,VLG0008,Sukli,2025,1,January,open_well,24131,7706,0.319,5.7,non-functional,N,43875,36169,JJM_synthetic
WSVLG0008M02,VLG0008,Sukli,2025,2,February,open_well,24131,5667,0.235,4.2,non-functional,N,43875,38208,JJM_synthetic
WSVLG0008M03,VLG0008,Sukli,2025,3,March,open_well,24131,5125,0.212,3.8,non-functional,N,43875,38750,JJM_synthetic
WSVLG0008M04,VLG0008,Sukli,2025,4,April,open_well,24131,2390,0.099,1.8,non-functional,N,43875,41485,JJM_synthetic
WSVLG0008M05,VLG0008,Sukli,2025,5,May,open_well,24131,2012,0.083,1.5,non-functional,N,43875,41863,JJM_synthetic
WSVLG0008M06,VLG0008,Sukli,2025,6,June,open_well,24131,12311,0.51,9.2,non-functional,N,43875,31564,JJM_synthetic
WSVLG0008M07,VLG0008,Sukli,2025,7,July,open_well,24131,16215,0.672,12.1,non-functional,N,43875,27660,JJM_synthetic
WSVLG0008M08,VLG0008,Sukli,2025,8,August,open_well,24131,16700,0.692,12.5,non-functional,N,43875,27175,JJM_synthetic
WSVLG0008M09,VLG0008,Sukli,2025,9,September,open_well,24131,12015,0.498,9.0,non-functional,N,43875,31860,JJM_synthetic
WSVLG0008M10,VLG0008,Sukli,2025,10,October,open_well,24131,7863,0.326,5.9,non-functional,N,43875,36012,JJM_synthetic
WSVLG0008M11,VLG0008,Sukli,2025,11,November,open_well,24131,7601,0.315,5.7,non-functional,N,43875,36274,JJM_synthetic
WSVLG0008M12,VLG0008,Sukli,2025,12,December,open_well,24131,8702,0.361,6.5,non-functional,N,43875,35173,JJM_synthetic
WSVLG0009M01,VLG0009,Babhulgaon,2025,1,January,bore_well,6063,2175,0.359,6.5,non-functional,N,11025,8850,JJM_synthetic
WSVLG0009M02,VLG0009,Babhulgaon,2025,2,February,bore_well,6063,1589,0.262,4.7,non-functional,N,11025,9436,JJM_synthetic
WSVLG0009M03,VLG0009,Babhulgaon,2025,3,March,bore_well,6063,1163,0.192,3.5,non-functional,N,11025,9862,JJM_synthetic
WSVLG0009M04,VLG0009,Babhulgaon,2025,4,April,bore_well,6063,998,0.165,3.0,non-functional,N,11025,10027,JJM_synthetic
WSVLG0009M05,VLG0009,Babhulgaon,2025,5,May,bore_well,6063,858,0.142,2.5,non-functional,N,11025,10167,JJM_synthetic
WSVLG0009M06,VLG0009,Babhulgaon,2025,6,June,bore_well,6063,2860,0.472,8.5,non-functional,N,11025,8165,JJM_synthetic
WSVLG0009M07,VLG0009,Babhulgaon,2025,7,July,bore_well,6063,3851,0.635,11.4,non-functional,N,11025,7174,JJM_synthetic
WSVLG0009M08,VLG0009,Babhulgaon,2025,8,August,bore_well,6063,3810,0.629,11.3,non-functional,N,11025,7215,JJM_synthetic
WSVLG0009M09,VLG0009,Babhulgaon,2025,9,September,bore_well,6063,3112,0.513,9.2,non-functional,N,11025,7913,JJM_synthetic
WSVLG0009M10,VLG0009,Babhulgaon,2025,10,October,bore_well,6063,2845,0.469,8.4,non-functional,N,11025,8180,JJM_synthetic
WSVLG0009M11,VLG0009,Babhulgaon,2025,11,November,bore_well,6063,1786,0.295,5.3,non-functional,N,11025,9239,JJM_synthetic
WSVLG0009M12,VLG0009,Babhulgaon,2025,12,December,bore_well,6063,2172,0.358,6.5,non-functional,N,11025,8853,JJM_synthetic
WSVLG0010M01,VLG0010,Umari,2025,1,January,bore_well,44331,27584,0.622,11.2,stressed,N,52155,24571,JJM_synthetic
WSVLG0010M02,VLG0010,Umari,2025,2,February,bore_well,44331,22003,0.496,8.9,stressed,N,52155,30152,JJM_synthetic
WSVLG0010M03,VLG0010,Umari,2025,3,March,bore_well,44331,16674,0.376,6.8,stressed,N,52155,35481,JJM_synthetic
WSVLG0010M04,VLG0010,Umari,2025,4,April,bore_well,44331,16085,0.363,6.5,stressed,N,52155,36070,JJM_synthetic
WSVLG0010M05,VLG0010,Umari,2025,5,May,bore_well,44331,15124,0.341,6.1,stressed,N,52155,37031,JJM_synthetic
WSVLG0010M06,VLG0010,Umari,2025,6,June,bore_well,44331,32650,0.737,13.3,stressed,N,52155,19505,JJM_synthetic
WSVLG0010M07,VLG0010,Umari,2025,7,July,bore_well,44331,34850,0.786,14.2,stressed,N,52155,17305,JJM_synthetic
WSVLG0010M08,VLG0010,Umari,2025,8,August,bore_well,44331,37106,0.837,15.1,stressed,N,52155,15049,JJM_synthetic
WSVLG0010M09,VLG0010,Umari,2025,9,September,bore_well,44331,31331,0.707,12.7,stressed,N,52155,20824,JJM_synthetic
WSVLG0010M10,VLG0010,Umari,2025,10,October,bore_well,44331,26580,0.6,10.8,stressed,N,52155,25575,JJM_synthetic
WSVLG0010M11,VLG0010,Umari,2025,11,November,bore_well,44331,25090,0.566,10.2,stressed,N,52155,27065,JJM_synthetic
WSVLG0010M12,VLG0010,Umari,2025,12,December,bore_well,44331,27965,0.631,11.4,stressed,N,52155,24190,JJM_synthetic
WSVLG0011M01,VLG0011,Pangri,2025,1,January,open_well,87264,87264,1.0,18.0,functional,N,54540,0,JJM_synthetic
WSVLG0011M02,VLG0011,Pangri,2025,2,February,open_well,87264,81425,0.933,16.8,functional,N,54540,0,JJM_synthetic
WSVLG0011M03,VLG0011,Pangri,2025,3,March,open_well,87264,80840,0.926,16.7,functional,N,54540,0,JJM_synthetic
WSVLG0011M04,VLG0011,Pangri,2025,4,April,open_well,87264,72408,0.83,14.9,functional,N,54540,0,JJM_synthetic
WSVLG0011M05,VLG0011,Pangri,2025,5,May,open_well,87264,67975,0.779,14.0,functional,N,54540,0,JJM_synthetic
WSVLG0011M06,VLG0011,Pangri,2025,6,June,open_well,87264,85736,0.982,17.7,functional,N,54540,0,JJM_synthetic
WSVLG0011M07,VLG0011,Pangri,2025,7,July,open_well,87264,87264,1.0,18.0,functional,N,54540,0,JJM_synthetic
WSVLG0011M08,VLG0011,Pangri,2025,8,August,open_well,87264,83499,0.957,17.2,functional,N,54540,0,JJM_synthetic
WSVLG0011M09,VLG0011,Pangri,2025,9,September,open_well,87264,84906,0.973,17.5,functional,N,54540,0,JJM_synthetic
WSVLG0011M10,VLG0011,Pangri,2025,10,October,open_well,87264,83422,0.956,17.2,functional,N,54540,0,JJM_synthetic
WSVLG0011M11,VLG0011,Pangri,2025,11,November,open_well,87264,81540,0.934,16.8,functional,N,54540,0,JJM_synthetic
WSVLG0011M12,VLG0011,Pangri,2025,12,December,open_well,87264,85533,0.98,17.6,functional,N,54540,0,JJM_synthetic
WSVLG0012M01,VLG0012,Manora,2025,1,January,bore_well,105552,101502,0.962,17.3,functional,N,65970,0,JJM_synthetic
WSVLG0012M02,VLG0012,Manora,2025,2,February,bore_well,105552,92856,0.88,15.8,functional,N,65970,0,JJM_synthetic
WSVLG0012M03,VLG0012,Manora,2025,3,March,bore_well,105552,90716,0.859,15.5,functional,N,65970,0,JJM_synthetic
WSVLG0012M04,VLG0012,Manora,2025,4,April,bore_well,105552,84657,0.802,14.4,functional,N,65970,0,JJM_synthetic
WSVLG0012M05,VLG0012,Manora,2025,5,May,bore_well,105552,94088,0.891,16.0,functional,N,65970,0,JJM_synthetic
WSVLG0012M06,VLG0012,Manora,2025,6,June,bore_well,105552,103497,0.981,17.6,functional,N,65970,0,JJM_synthetic
WSVLG0012M07,VLG0012,Manora,2025,7,July,bore_well,105552,104602,0.991,17.8,functional,N,65970,0,JJM_synthetic
WSVLG0012M08,VLG0012,Manora,2025,8,August,bore_well,105552,101630,0.963,17.3,functional,N,65970,0,JJM_synthetic
WSVLG0012M09,VLG0012,Manora,2025,9,September,bore_well,105552,105552,1.0,18.0,functional,N,65970,0,JJM_synthetic
WSVLG0012M10,VLG0012,Manora,2025,10,October,bore_well,105552,94687,0.897,16.1,functional,N,65970,0,JJM_synthetic
WSVLG0012M11,VLG0012,Manora,2025,11,November,bore_well,105552,95297,0.903,16.3,functional,N,65970,0,JJM_synthetic
WSVLG0012M12,VLG0012,Manora,2025,12,December,bore_well,105552,103085,0.977,17.6,functional,N,65970,0,JJM_synthetic
WSVLG0013M01,VLG0013,Kelia,2025,1,January,open_well,108702,89571,0.824,14.8,functional,N,90585,1014,JJM_synthetic
WSVLG0013M02,VLG0013,Kelia,2025,2,February,open_well,108702,85691,0.788,14.2,functional,N,90585,4894,JJM_synthetic
WSVLG0013M03,VLG0013,Kelia,2025,3,March,open_well,108702,81776,0.752,13.5,functional,N,90585,8809,JJM_synthetic
WSVLG0013M04,VLG0013,Kelia,2025,4,April,open_well,108702,67422,0.62,11.2,functional,N,90585,23163,JJM_synthetic
WSVLG0013M05,VLG0013,Kelia,2025,5,May,open_well,108702,55194,0.508,9.1,functional,N,90585,35391,JJM_synthetic
WSVLG0013M06,VLG0013,Kelia,2025,6,June,open_well,108702,96714,0.89,16.0,functional,N,90585,0,JJM_synthetic
WSVLG0013M07,VLG0013,Kelia,2025,7,July,open_well,108702,104605,0.962,17.3,functional,N,90585,0,JJM_synthetic
WSVLG0013M08,VLG0013,Kelia,2025,8,August,open_well,108702,108702,1.0,18.0,functional,N,90585,0,JJM_synthetic
WSVLG0013M09,VLG0013,Kelia,2025,9,September,open_well,108702,89579,0.824,14.8,functional,N,90585,1006,JJM_synthetic
WSVLG0013M10,VLG0013,Kelia,2025,10,October,open_well,108702,94364,0.868,15.6,functional,N,90585,0,JJM_synthetic
WSVLG0013M11,VLG0013,Kelia,2025,11,November,open_well,108702,85569,0.787,14.2,functional,N,90585,5016,JJM_synthetic
WSVLG0013M12,VLG0013,Kelia,2025,12,December,open_well,108702,92778,0.854,15.4,functional,N,90585,0,JJM_synthetic
WSVLG0014M01,VLG0014,Khodad,2025,1,January,bore_well,45326,27010,0.596,10.7,stressed,N,53325,26315,JJM_synthetic
WSVLG0014M02,VLG0014,Khodad,2025,2,February,bore_well,45326,22042,0.486,8.8,stressed,N,53325,31283,JJM_synthetic
WSVLG0014M03,VLG0014,Khodad,2025,3,March,bore_well,45326,21758,0.48,8.6,stressed,N,53325,31567,JJM_synthetic
WSVLG0014M04,VLG0014,Khodad,2025,4,April,bore_well,45326,18410,0.406,7.3,stressed,N,53325,34915,JJM_synthetic
WSVLG0014M05,VLG0014,Khodad,2025,5,May,bore_well,45326,15360,0.339,6.1,stressed,N,53325,37965,JJM_synthetic
WSVLG0014M06,VLG0014,Khodad,2025,6,June,bore_well,45326,33970,0.749,13.5,stressed,N,53325,19355,JJM_synthetic
WSVLG0014M07,VLG0014,Khodad,2025,7,July,bore_well,45326,36079,0.796,14.3,stressed,N,53325,17246,JJM_synthetic
WSVLG0014M08,VLG0014,Khodad,2025,8,August,bore_well,45326,33434,0.738,13.3,stressed,N,53325,19891,JJM_synthetic
WSVLG0014M09,VLG0014,Khodad,2025,9,September,bore_well,45326,34120,0.753,13.5,stressed,N,53325,19205,JJM_synthetic
WSVLG0014M10,VLG0014,Khodad,2025,10,October,bore_well,45326,28870,0.637,11.5,stressed,N,53325,24455,JJM_synthetic
WSVLG0014M11,VLG0014,Khodad,2025,11,November,bore_well,45326,23631,0.521,9.4,stressed,N,53325,29694,JJM_synthetic
WSVLG0014M12,VLG0014,Khodad,2025,12,December,bore_well,45326,26219,0.578,10.4,stressed,N,53325,27106,JJM_synthetic
WSVLG0015M01,VLG0015,Tirora,2025,1,January,open_well,40824,31897,0.781,14.1,functional,N,34020,2123,JJM_synthetic
WSVLG0015M02,VLG0015,Tirora,2025,2,February,open_well,40824,28196,0.691,12.4,functional,N,34020,5824,JJM_synthetic
WSVLG0015M03,VLG0015,Tirora,2025,3,March,open_well,40824,26425,0.647,11.7,functional,N,34020,7595,JJM_synthetic
WSVLG0015M04,VLG0015,Tirora,2025,4,April,open_well,40824,22642,0.555,10.0,functional,N,34020,11378,JJM_synthetic
WSVLG0015M05,VLG0015,Tirora,2025,5,May,open_well,40824,21779,0.534,9.6,functional,N,34020,12241,JJM_synthetic
WSVLG0015M06,VLG0015,Tirora,2025,6,June,open_well,40824,35535,0.87,15.7,functional,N,34020,0,JJM_synthetic
WSVLG0015M07,VLG0015,Tirora,2025,7,July,open_well,40824,36125,0.885,15.9,functional,N,34020,0,JJM_synthetic
WSVLG0015M08,VLG0015,Tirora,2025,8,August,open_well,40824,40824,1.0,18.0,functional,N,34020,0,JJM_synthetic
WSVLG0015M09,VLG0015,Tirora,2025,9,September,open_well,40824,37970,0.93,16.7,functional,N,34020,0,JJM_synthetic
WSVLG0015M10,VLG0015,Tirora,2025,10,October,open_well,40824,32203,0.789,14.2,functional,N,34020,1817,JJM_synthetic
WSVLG0015M11,VLG0015,Tirora,2025,11,November,open_well,40824,32287,0.791,14.2,functional,N,34020,1733,JJM_synthetic
WSVLG0015M12,VLG0015,Tirora,2025,12,December,open_well,40824,34157,0.837,15.1,functional,N,34020,0,JJM_synthetic
WSVLG0016M01,VLG0016,Khadki,2025,1,January,bore_well,55730,36093,0.648,11.7,stressed,N,65565,29472,JJM_synthetic
WSVLG0016M02,VLG0016,Khadki,2025,2,February,bore_well,55730,27154,0.487,8.8,stressed,N,65565,38411,JJM_synthetic
WSVLG0016M03,VLG0016,Khadki,2025,3,March,bore_well,55730,27513,0.494,8.9,stressed,N,65565,38052,JJM_synthetic
WSVLG0016M04,VLG0016,Khadki,2025,4,April,bore_well,55730,19956,0.358,6.4,stressed,N,65565,45609,JJM_synthetic
WSVLG0016M05,VLG0016,Khadki,2025,5,May,bore_well,55730,13741,0.247,4.4,stressed,N,65565,51824,JJM_synthetic
WSVLG0016M06,VLG0016,Khadki,2025,6,June,bore_well,55730,43411,0.779,14.0,stressed,N,65565,22154,JJM_synthetic
WSVLG0016M07,VLG0016,Khadki,2025,7,July,bore_well,55730,48575,0.872,15.7,stressed,N,65565,16990,JJM_synthetic
WSVLG0016M08,VLG0016,Khadki,2025,8,August,bore_well,55730,50352,0.904,16.3,stressed,N,65565,15213,JJM_synthetic
WSVLG0016M09,VLG0016,Khadki,2025,9,September,bore_well,55730,37451,0.672,12.1,stressed,N,65565,28114,JJM_synthetic
WSVLG0016M10,VLG0016,Khadki,2025,10,October,bore_well,55730,36110,0.648,11.7,stressed,N,65565,29455,JJM_synthetic
WSVLG0016M11,VLG0016,Khadki,2025,11,November,bore_well,55730,30295,0.544,9.8,stressed,N,65565,35270,JJM_synthetic
WSVLG0016M12,VLG0016,Khadki,2025,12,December,bore_well,55730,35184,0.631,11.4,stressed,N,65565,30381,JJM_synthetic
WSVLG0017M01,VLG0017,Pombhurna,2025,1,January,bore_well,49189,26620,0.541,9.7,stressed,N,57870,31250,JJM_synthetic
WSVLG0017M02,VLG0017,Pombhurna,2025,2,February,bore_well,49189,23093,0.469,8.5,stressed,N,57870,34777,JJM_synthetic
WSVLG0017M03,VLG0017,Pombhurna,2025,3,March,bore_well,49189,20608,0.419,7.5,stressed,N,57870,37262,JJM_synthetic
WSVLG0017M04,VLG0017,Pombhurna,2025,4,April,bore_well,49189,18847,0.383,6.9,stressed,N,57870,39023,JJM_synthetic
WSVLG0017M05,VLG0017,Pombhurna,2025,5,May,bore_well,49189,13495,0.274,4.9,stressed,N,57870,44375,JJM_synthetic
WSVLG0017M06,VLG0017,Pombhurna,2025,6,June,bore_well,49189,38188,0.776,14.0,stressed,N,57870,19682,JJM_synthetic
WSVLG0017M07,VLG0017,Pombhurna,2025,7,July,bore_well,49189,42355,0.861,15.5,stressed,N,57870,15515,JJM_synthetic
WSVLG0017M08,VLG0017,Pombhurna,2025,8,August,bore_well,49189,40530,0.824,14.8,stressed,N,57870,17340,JJM_synthetic
WSVLG0017M09,VLG0017,Pombhurna,2025,9,September,bore_well,49189,38601,0.785,14.1,stressed,N,57870,19269,JJM_synthetic
WSVLG0017M10,VLG0017,Pombhurna,2025,10,October,bore_well,49189,31315,0.637,11.5,stressed,N,57870,26555,JJM_synthetic
WSVLG0017M11,VLG0017,Pombhurna,2025,11,November,bore_well,49189,25151,0.511,9.2,stressed,N,57870,32719,JJM_synthetic
WSVLG0017M12,VLG0017,Pombhurna,2025,12,December,bore_well,49189,32195,0.655,11.8,stressed,N,57870,25675,JJM_synthetic
