gw_id,village_id,village_name,date,week_number,depth_below_surface_m,trend,classification,source,confidence
GWVLG0002W16,VLG0002,Pulgaon,2025-04-21,16,20.64,stable,safe,CGWB_synthetic,high
GWVLG0002W17,VLG0002,Pulgaon,2025-04-28,17,20.62,stable,safe,CGWB_synthetic,high
GWVLG0002W18,VLG0002,Pulgaon,2025-05-05,18,20.62,stable,safe,CGWB_synthetic,high
GWVLG0002W19,VLG0002,Pulgaon,2025-05-12,19,20.61,stable,safe,CGWB_synthetic,high
GWVLG0002W20,VLG0002,Pulgaon,2025-05-19,20,20.59,stable,safe,CGWB_synthetic,high
GWVLG0002W21,VLG0002,Pulgaon,2025-05-26,21,20.6,stable,safe,CGWB_synthetic,high
GWVLG0002W22,VLG0002,Pulgaon,2025-06-02,22,20.58,stable,safe,CGWB_synthetic,high
GWVLG0002W23,VLG0002,Pulgaon,2025-06-09,23,20.6,stable,safe,CGWB_synthetic,high
GWVLG0002W24,VLG0002,Pulgaon,2025-06-16,24,20.25,rising,safe,CGWB_synthetic,high
GWVLG0002W25,VLG0002,Pulgaon,2025-06-23,25,19.89,rising,safe,CGWB_synthetic,high
GWVLG0002W26,VLG0002,Pulgaon,2025-06-30,26,19.49,rising,safe,CGWB_synthetic,high
GWVLG0002W27,VLG0002,Pulgaon,2025-07-07,27,19.11,rising,safe,CGWB_synthetic,high
GWVLG0002W28,VLG0002,Pulgaon,2025-07-14,28,18.8,rising,safe,CGWB_synthetic,high
GWVLG0002W29,VLG0002,Pulgaon,2025-07-21,29,18.48,rising,safe,CGWB_synthetic,high
GWVLG0002W30,VLG0002,Pulgaon,2025-07-28,30,18.08,rising,safe,CGWB_synthetic,high
GWVLG0002W31,VLG0002,Pulgaon,2025-08-04,31,17.73,rising,safe,CGWB_synthetic,high
GWVLG0002W32,VLG0002,Pulgaon,2025-08-11,32,17.42,rising,safe,CGWB_synthetic,high
GWVLG0002W33,VLG0002,Pulgaon,2025-08-18,33,16.99,rising,safe,CGWB_synthetic,high
GWVLG0002W34,VLG0002,Pulgaon,2025-08-25,34,16.66,rising,safe,CGWB_synthetic,high
GWVLG0002W35,VLG0002,Pulgaon,2025-09-01,35,16.28,rising,safe,CGWB_synthetic,high
GWVLG0002W36,VLG0002,Pulgaon,2025-09-08,36,15.96,rising,safe,CGWB_synthetic,high
GWVLG0002W37,VLG0002,Pulgaon,2025-09-15,37,15.57,rising,safe,CGWB_synthetic,high
GWVLG0002W38,VLG0002,Pulgaon,2025-09-22,38,15.13,rising,safe,CGWB_synthetic,high
GWVLG0002W39,VLG0002,Pulgaon,2025-09-29,39,14.7,rising,safe,CGWB_synthetic,high
GWVLG0002W40,VLG0002,Pulgaon,2025-10-06,40,14.71,rising,safe,CGWB_synthetic,high
GWVLG0002W41,VLG0002,Pulgaon,2025-10-13,41,14.72,rising,safe,CGWB_synthetic,high
GWVLG0002W42,VLG0002,Pulgaon,2025-10-20,42,14.71,rising,safe,CGWB_synthetic,high
GWVLG0002W43,VLG0002,Pulgaon,2025-10-27,43,14.73,stable,safe,CGWB_synthetic,high
GWVLG0002W44,VLG0002,Pulgaon,2025-11-03,44,14.69,stable,safe,CGWB_synthetic,high
GWVLG0002W45,VLG0002,Pulgaon,2025-11-10,45,14.7,stable,safe,CGWB_synthetic,high
GWVLG0002W46,VLG0002,Pulgaon,2025-11-17,46,14.67,stable,safe,CGWB_synthetic,high
GWVLG0002W47,VLG0002,Pulgaon,2025-11-24,47,14.66,stable,safe,CGWB_synthetic,high
GWVLG0002W48,VLG0002,Pulgaon,2025-12-01,48,14.67,stable,safe,CGWB_synthetic,high
GWVLG0002W49,VLG0002,Pulgaon,2025-12-08,49,14.65,stable,safe,CGWB_synthetic,high
GWVLG0002W50,VLG0002,Pulgaon,2025-12-15,50,14.65,stable,safe,CGWB_synthetic,high
GWVLG0002W51,VLG0002,Pulgaon,2025-12-22,51,14.69,stable,safe,CGWB_synthetic,high
GWVLG0002W52,VLG0002,Pulgaon,2025-12-29,52,14.68,stable,safe,CGWB_synthetic,high
GWVLG0003W01,VLG0003,Hingna,2025-01-06,1,46.47,stable,semi-critical,CGWB_synthetic,high
GWVLG0003W02,VLG0003,Hingna,2025-01-13,2,46.51,stable,semi-critical,CGWB_synthetic,high
GWVLG0003W03,VLG0003,Hingna,2025-01-20,3,46.58,stable,semi-critical,CGWB_synthetic,high
GWVLG0003W04,VLG0003,Hingna,2025-01-27,4,46.63,stable,semi-critical,CGWB_synthetic,high
GWVLG0003W05,VLG0003,Hingna,2025-02-03,5,46.73,stable,semi-critical,CGWB_synthetic,high
GWVLG0003W06,VLG0003,Hingna,2025-02-10,6,46.8,stable,semi-critical,CGWB_synthetic,high
GWVLG0003W07,VLG0003,Hingna,2025-02-17,7,46.87,stable,semi-critical,CGWB_synthetic,high
GWVLG0003W08,VLG0003,Hingna,2025-02-24,8,46.92,stable,semi-critical,CGWB_synthetic,high
GWVLG0003W09,VLG0003,Hingna,2025-03-03,9,46.96,stable,semi-critical,CGWB_synthetic,high
GWVLG0003W10,VLG0003,Hingna,2025-03-10,10,47.01,stable,semi-critical,CGWB_synthetic,high
GWVLG0003W11,VLG0003,Hingna,2025-03-17,11,47.08,stable,semi-critical,CGWB_synthetic,high
GWVLG0003W12,VLG0003,Hingna,2025-03-24,12,47.13,stable,semi-critical,CGWB_synthetic,high
GWVLG0003W13,VLG0003,Hingna,2025-03-31,13,47.2,stable,semi-critical,CGWB_synthetic,high
GWVLG0003W14,VLG0003,Hingna,2025-04-07,14,47.32,stable,semi-critical,CGWB_synthetic,high
GWVLG0003W15,VLG0003,Hingna,2025-04-14,15,47.41,stable,semi-critical,CGWB_synthetic,high
GWVLG0003W16,VLG0003,Hingna,2025-04-21,16,47.46,stable,semi-critical,CGWB_synthetic,high
GWVLG0003W17,VLG0003,Hingna,2025-04-28,17,47.56,stable,semi-critical,CGWB_synthetic,high
GWVLG0003W18,VLG0003,Hingna,2025-05-05,18,47.61,stable,semi-critical,CGWB_synthetic,high
GWVLG0003W19,VLG0003,Hingna,2025-05-12,19,47.6,stable,semi-critical,CGWB_synthetic,high
GWVLG0003W20,VLG0003,Hingna,2025-05-19,20,47.64,stable,semi-critical,CGWB_synthetic,high
GWVLG0003W21,VLG0003,Hingna,2025-05-26,21,47.64,stable,semi-critical,CGWB_synthetic,high
GWVLG0003W22,VLG0003,Hingna,2025-06-02,22,47.69,stable,semi-critical,CGWB_synthetic,high
GWVLG0003W23,VLG0003,Hingna,2025-06-09,23,47.75,stable,semi-critical,CGWB_synthetic,high
GWVLG0003W24,VLG0003,Hingna,2025-06-16,24,47.55,stable,semi-critical,CGWB_synthetic,high
GWVLG0003W25,VLG0003,Hingna,2025-06-23,25,47.29,rising,semi-critical,CGWB_synthetic,high
GWVLG0003W26,VLG0003,Hingna,2025-06-30,26,47.0,rising,semi-critical,CGWB_synthetic,high
GWVLG0003W27,VLG0003,Hingna,2025-07-07,27,46.76,rising,semi-critical,CGWB_synthetic,high
GWVLG0003W28,VLG0003,Hingna,2025-07-14,28,46.37,rising,semi-critical,CGWB_synthetic,high
GWVLG0003W29,VLG0003,Hingna,2025-07-21,29,46.1,rising,semi-critical,CGWB_synthetic,high
GWVLG0003W30,VLG0003,Hingna,2025-07-28,30,45.86,rising,semi-critical,CGWB_synthetic,high
GWVLG0003W31,VLG0003,Hingna,2025-08-04,31,45.51,rising,semi-critical,CGWB_synthetic,high
GWVLG0003W32,VLG0003,Hingna,2025-08-11,32,45.28,rising,semi-critical,CGWB_synthetic,high
GWVLG0003W33,VLG0003,Hingna,2025-08-18,33,45.02,rising,semi-critical,CGWB_synthetic,high
GWVLG0003W34,VLG0003,Hingna,2025-08-25,34,44.72,rising,semi-critical,CGWB_synthetic,high
GWVLG0003W35,VLG0003,Hingna,2025-09-01,35,44.47,rising,semi-critical,CGWB_synthetic,high
GWVLG0003W36,VLG0003,Hingna,2025-09-08,36,44.31,rising,semi-critical,CGWB_synthetic,high
GWVLG0003W37,VLG0003,Hingna,2025-09-15,37,44.03,rising,semi-critical,CGWB_synthetic,high
GWVLG0003W38,VLG0003,Hingna,2025-09-22,38,43.77,rising,semi-critical,CGWB_synthetic,high
GWVLG0003W39,VLG0003,Hingna,2025-09-29,39,43.46,rising,semi-critical,CGWB_synthetic,high
GWVLG0003W40,VLG0003,Hingna,2025-10-06,40,43.5,rising,semi-critical,CGWB_synthetic,high
GWVLG0003W41,VLG0003,Hingna,2025-10-13,41,43.58,rising,semi-critical,CGWB_synthetic,high
GWVLG0003W42,VLG0003,Hingna,2025-10-20,42,43.62,stable,semi-critical,CGWB_synthetic,high
GWVLG0003W43,VLG0003,Hingna,2025-10-27,43,43.68,stable,semi-critical,CGWB_synthetic,high
GWVLG0003W44,VLG0003,Hingna,2025-11-03,44,43.73,stable,semi-critical,CGWB_synthetic,high
GWVLG0003W45,VLG0003,Hingna,2025-11-10,45,43.8,stable,semi-critical,CGWB_synthetic,high
GWVLG0003W46,VLG0003,Hingna,2025-11-17,46,43.87,stable,semi-critical,CGWB_synthetic,high
GWVLG0003W47,VLG0003,Hingna,2025-11-24,47,43.97,stable,semi-critical,CGWB_synthetic,high
GWVLG0003W48,VLG0003,Hingna,2025-12-01,48,44.01,stable,semi-critical,CGWB_synthetic,high
GWVLG0003W49,VLG0003,Hingna,2025-12-08,49,44.06,stable,semi-critical,CGWB_synthetic,high
GWVLG0003W50,VLG0003,Hingna,2025-12-15,50,44.1,stable,semi-critical,CGWB_synthetic,high
GWVLG0003W51,VLG0003,Hingna,2025-12-22,51,44.14,stable,semi-critical,CGWB_synthetic,high
GWVLG0003W52,VLG0003,Hingna,2025-12-29,52,44.21,stable,semi-critical,CGWB_synthetic,high
GWVLG0004W01,VLG0004,Mandgaon,2025-01-06,1,47.51,stable,semi-critical,CGWB_synthetic,high
GWVLG0004W02,VLG0004,Mandgaon,2025-01-13,2,47.63,stable,semi-critical,CGWB_synthetic,high
GWVLG0004W03,VLG0004,Mandgaon,2025-01-20,3,47.71,stable,semi-critical,CGWB_synthetic,high
GWVLG0004W04,VLG0004,Mandgaon,2025-01-27,4,47.78,stable,semi-critical,CGWB_synthetic,high
GWVLG0004W05,VLG0004,Mandgaon,2025-02-03,5,47.85,stable,semi-critical,CGWB_synthetic,high
GWVLG0004W06,VLG0004,Mandgaon,2025-02-10,6,47.89,stable,semi-critical,CGWB_synthetic,high
GWVLG0004W07,VLG0004,Mandgaon,2025-02-17,7,48.03,stable,semi-critical,CGWB_synthetic,high
GWVLG0004W08,VLG0004,Mandgaon,2025-02-24,8,48.1,stable,semi-critical,CGWB_synthetic,high
GWVLG0004W09,VLG0004,Mandgaon,2025-03-03,9,48.17,stable,semi-critical,CGWB_synthetic,high
GWVLG0004W10,VLG0004,Mandgaon,2025-03-10,10,48.26,stable,semi-critical,CGWB_synthetic,high
GWVLG0004W11,VLG0004,Mandgaon,2025-03-17,11,48.34,stable,semi-critical,CGWB_synthetic,high
GWVLG0004W12,VLG0004,Mandgaon,2025-03-24,12,48.41,stable,semi-critical,CGWB_synthetic,high
GWVLG0004W13,VLG0004,Mandgaon,2025-03-31,13,48.46,stable,semi-critical,CGWB_synthetic,high
GWVLG0004W14,VLG0004,Mandgaon,2025-04-07,14,48.54,stable,semi-critical,CGWB_synthetic,high
GWVLG0004W15,VLG0004,Mandgaon,2025-04-14,15,48.66,stable,semi-critical,CGWB_synthetic,high
GWVLG0004W16,VLG0004,Mandgaon,2025-04-21,16,48.77,stable,semi-critical,CGWB_synthetic,high
GWVLG0004W17,VLG0004,Mandgaon,2025-04-28,17,48.88,stable,semi-critical,CGWB_synthetic,high
GWVLG0004W18,VLG0004,Mandgaon,2025-05-05,18,48.94,stable,semi-critical,CGWB_synthetic,high
GWVLG0004W19,VLG0004,Mandgaon,2025-05-12,19,48.97,stable,semi-critical,CGWB_synthetic,high
GWVLG0004W20,VLG0004,Mandgaon,2025-05-19,20,49.04,stable,semi-critical,CGWB_synthetic,high
GWVLG0004W21,VLG0004,Mandgaon,2025-05-26,21,49.11,stable,semi-critical,CGWB_synthetic,high
GWVLG0004W22,VLG0004,Mandgaon,2025-06-02,22,49.21,stable,semi-critical,CGWB_synthetic,high
GWVLG0004W23,VLG0004,Mandgaon,2025-06-09,23,49.22,stable,semi-critical,CGWB_synthetic,high
GWVLG0004W24,VLG0004,Mandgaon,2025-06-16,24,49.02,stable,semi-critical,CGWB_synthetic,high
GWVLG0004W25,VLG0004,Mandgaon,2025-06-23,25,48.73,rising,semi-critical,CGWB_synthetic,high
GWVLG0004W26,VLG0004,Mandgaon,2025-06-30,26,48.43,rising,semi-critical,CGWB_synthetic,high
GWVLG0004W27,VLG0004,Mandgaon,2025-07-07,27,48.1,rising,semi-critical,CGWB_synthetic,high
GWVLG0004W28,VLG0004,Mandgaon,2025-07-14,28,47.74,rising,semi-critical,CGWB_synthetic,high
GWVLG0004W29,VLG0004,Mandgaon,2025-07-21,29,47.5,rising,semi-critical,CGWB_synthetic,high
GWVLG0004W30,VLG0004,Mandgaon,2025-07-28,30,47.22,rising,semi-critical,CGWB_synthetic,high
GWVLG0004W31,VLG0004,Mandgaon,2025-08-04,31,46.88,rising,semi-critical,CGWB_synthetic,high
GWVLG0004W32,VLG0004,Mandgaon,2025-08-11,32,46.53,rising,semi-critical,CGWB_synthetic,high
GWVLG0004W33,VLG0004,Mandgaon,2025-08-18,33,46.24,rising,semi-critical,CGWB_synthetic,high
GWVLG0004W34,VLG0004,Mandgaon,2025-08-25,34,46.04,rising,semi-critical,CGWB_synthetic,high
GWVLG0004W35,VLG0004,Mandgaon,2025-09-01,35,45.75,rising,semi-critical,CGWB_synthetic,high
GWVLG0004W36,VLG0004,Mandgaon,2025-09-08,36,45.39,rising,semi-critical,CGWB_synthetic,high
GWVLG0004W37,VLG0004,Mandgaon,2025-09-15,37,45.1,rising,semi-critical,CGWB_synthetic,high
GWVLG0004W38,VLG0004,Mandgaon,2025-09-22,38,44.8,rising,semi-critical,CGWB_synthetic,high
GWVLG0004W39,VLG0004,Mandgaon,2025-09-29,39,44.39,rising,semi-critical,CGWB_synthetic,high
GWVLG0004W40,VLG0004,Mandgaon,2025-10-06,40,44.46,rising,semi-critical,CGWB_synthetic,high
GWVLG0004W41,VLG0004,Mandgaon,2025-10-13,41,44.52,rising,semi-critical,CGWB_synthetic,high
GWVLG0004W42,VLG0004,Mandgaon,2025-10-20,42,44.6,stable,semi-critical,CGWB_synthetic,high
GWVLG0004W43,VLG0004,Mandgaon,2025-10-27,43,44.73,stable,semi-critical,CGWB_synthetic,high
GWVLG0004W44,VLG0004,Mandgaon,2025-11-03,44,44.83,stable,semi-critical,CGWB_synthetic,high
GWVLG0004W45,VLG0004,Mandgaon,2025-11-10,45,44.89,stable,semi-critical,CGWB_synthetic,high
GWVLG0004W46,VLG0004,Mandgaon,2025-11-17,46,44.92,stable,semi-critical,CGWB_synthetic,high
GWVLG0004W47,VLG0004,Mandgaon,2025-11-24,47,45.06,stable,semi-critical,CGWB_synthetic,high
GWVLG0004W48,VLG0004,Mandgaon,2025-12-01,48,45.13,stable,semi-critical,CGWB_synthetic,high
GWVLG0004W49,VLG0004,Mandgaon,2025-12-08,49,45.2,stable,semi-critical,CGWB_synthetic,high
GWVLG0004W50,VLG0004,Mandgaon,2025-12-15,50,45.27,stable,semi-critical,CGWB_synthetic,high
GWVLG0004W51,VLG0004,Mandgaon,2025-12-22,51,45.34,stable,semi-critical,CGWB_synthetic,high
GWVLG0004W52,VLG0004,Mandgaon,2025-12-29,52,45.4,stable,semi-critical,CGWB_synthetic,high
GWVLG0005W01,VLG0005,Kothari,2025-01-06,1,103.17,stable,overexploited,CGWB_synthetic,medium
GWVLG0005W02,VLG0005,Kothari,2025-01-13,2,103.4,stable,overexploited,CGWB_synthetic,medium
GWVLG0005W03,VLG0005,Kothari,2025-01-20,3,103.65,stable,overexploited,CGWB_synthetic,medium
GWVLG0005W04,VLG0005,Kothari,2025-01-27,4,103.79,stable,overexploited,CGWB_synthetic,medium
GWVLG0005W05,VLG0005,Kothari,2025-02-03,5,103.98,declining,overexploited,CGWB_synthetic,medium
GWVLG0005W06,VLG0005,Kothari,2025-02-10,6,104.17,declining,overexploited,CGWB_synthetic,medium
GWVLG0005W07,VLG0005,Kothari,2025-02-17,7,104.33,declining,overexploited,CGWB_synthetic,medium
GWVLG0005W08,VLG0005,Kothari,2025-02-24,8,104.51,declining,overexploited,CGWB_synthetic,medium
GWVLG0005W09,VLG0005,Kothari,2025-03-03,9,104.68,declining,overexploited,CGWB_synthetic,medium
GWVLG0005W10,VLG0005,Kothari,2025-03-10,10,104.94,declining,overexploited,CGWB_synthetic,medium
GWVLG0005W11,VLG0005,Kothari,2025-03-17,11,105.17,declining,overexploited,CGWB_synthetic,medium
GWVLG0005W12,VLG0005,Kothari,2025-03-24,12,105.41,declining,overexploited,CGWB_synthetic,medium
GWVLG0005W13,VLG0005,Kothari,2025-03-31,13,105.64,declining,overexploited,CGWB_synthetic,medium
GWVLG0005W14,VLG0005,Kothari,2025-04-07,14,105.81,declining,overexploited,CGWB_synthetic,medium
GWVLG0005W15,VLG0005,Kothari,2025-04-14,15,106.0,declining,overexploited,CGWB_synthetic,medium
GWVLG0005W16,VLG0005,Kothari,2025-04-21,16,106.21,declining,overexploited,CGWB_synthetic,medium
GWVLG0005W17,VLG0005,Kothari,2025-04-28,17,106.38,declining,overexploited,CGWB_synthetic,medium
GWVLG0005W18,VLG0005,Kothari,2025-05-05,18,106.61,declining,overexploited,CGWB_synthetic,medium
GWVLG0005W19,VLG0005,Kothari,2025-05-12,19,106.8,declining,overexploited,CGWB_synthetic,medium
GWVLG0005W20,VLG0005,Kothari,2025-05-19,20,106.99,declining,overexploited,CGWB_synthetic,medium
GWVLG0005W21,VLG0005,Kothari,2025-05-26,21,107.22,declining,overexploited,CGWB_synthetic,medium
GWVLG0005W22,VLG0005,Kothari,2025-06-02,22,107.44,declining,overexploited,CGWB_synthetic,medium
GWVLG0005W23,VLG0005,Kothari,2025-06-09,23,107.63,declining,overexploited,CGWB_synthetic,medium
GWVLG0005W24,VLG0005,Kothari,2025-06-16,24,107.57,declining,overexploited,CGWB_synthetic,medium
GWVLG0005W25,VLG0005,Kothari,2025-06-23,25,107.39,stable,overexploited,CGWB_synthetic,medium
GWVLG0005W26,VLG0005,Kothari,2025-06-30,26,107.3,stable,overexploited,CGWB_synthetic,medium
GWVLG0005W27,VLG0005,Kothari,2025-07-07,27,107.21,rising,overexploited,CGWB_synthetic,medium
GWVLG0005W28,VLG0005,Kothari,2025-07-14,28,107.08,rising,overexploited,CGWB_synthetic,medium
GWVLG0005W29,VLG0005,Kothari,2025-07-21,29,106.97,rising,overexploited,CGWB_synthetic,medium
GWVLG0005W30,VLG0005,Kothari,2025-07-28,30,106.79,rising,overexploited,CGWB_synthetic,medium
GWVLG0005W31,VLG0005,Kothari,2025-08-04,31,106.72,rising,overexploited,CGWB_synthetic,medium
GWVLG0005W32,VLG0005,Kothari,2025-08-11,32,106.59,rising,overexploited,CGWB_synthetic,medium
GWVLG0005W33,VLG0005,Kothari,2025-08-18,33,106.44,rising,overexploited,CGWB_synthetic,medium
GWVLG0005W34,VLG0005,Kothari,2025-08-25,34,106.37,rising,overexploited,CGWB_synthetic,medium
GWVLG0005W35,VLG0005,Kothari,2025-09-01,35,106.22,rising,overexploited,CGWB_synthetic,medium
GWVLG0005W36,VLG0005,Kothari,2025-09-08,36,106.03,rising,overexploited,CGWB_synthetic,medium
GWVLG0005W37,VLG0005,Kothari,2025-09-15,37,105.83,rising,overexploited,CGWB_synthetic,medium
GWVLG0005W38,VLG0005,Kothari,2025-09-22,38,105.74,rising,overexploited,CGWB_synthetic,medium
GWVLG0005W39,VLG0005,Kothari,2025-09-29,39,105.56,rising,overexploited,CGWB_synthetic,medium
GWVLG0005W40,VLG0005,Kothari,2025-10-06,40,105.81,stable,overexploited,CGWB_synthetic,medium
GWVLG0005W41,VLG0005,Kothari,2025-10-13,41,105.95,stable,overexploited,CGWB_synthetic,medium
GWVLG0005W42,VLG0005,Kothari,2025-10-20,42,106.21,stable,overexploited,CGWB_synthetic,medium
GWVLG0005W43,VLG0005,Kothari,2025-10-27,43,106.42,declining,overexploited,CGWB_synthetic,medium
GWVLG0005W44,VLG0005,Kothari,2025-11-03,44,106.62,declining,overexploited,CGWB_synthetic,medium
GWVLG0005W45,VLG0005,Kothari,2025-11-10,45,106.81,declining,overexploited,CGWB_synthetic,medium
GWVLG0005W46,VLG0005,Kothari,2025-11-17,46,107.02,declining,overexploited,CGWB_synthetic,medium
